
2025/06/17 (13:35:57) | ===> btop++ v.1.3.0
2025/06/17 (13:35:57) | WARNING: Failed to join _runner thread on exit!

2025/06/18 (17:41:04) | ===> btop++ v.1.3.0
2025/06/18 (17:41:04) | WARNING: Failed to join _runner thread on exit!

2025/06/19 (02:00:37) | ===> btop++ v.1.3.0
2025/06/19 (02:00:37) | WARNING: Failed to join _runner thread on exit!

2025/06/19 (10:58:39) | ===> btop++ v.1.3.0
2025/06/19 (10:58:39) | WARNING: Failed to join _runner thread on exit!

2025/06/20 (19:08:41) | ===> btop++ v.1.3.0
2025/06/20 (19:08:41) | WARNING: Failed to join _runner thread on exit!

2025/06/23 (15:31:39) | ===> btop++ v.1.3.0
2025/06/23 (15:31:39) | WARNING: Failed to join _runner thread on exit!

2025/06/23 (19:44:25) | ===> btop++ v.1.3.0
2025/06/23 (19:44:25) | WARNING: Failed to join _runner thread on exit!
